,name,url,ram,rom,price,createdDate,color,status,url_img,store
0,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,27090000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
1,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,27090000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
2,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-ram-16gb-256gb-new-100.html,16,16,35490000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
3,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-ram-16gb-256gb-new-100.html,16,16,35490000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
4,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-16-gb-512gb-new-100.html,16,16,39290000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
5,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-16-gb-512gb-new-100.html,16,16,39290000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
6,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-512gb-new-100.html,8,512,29090000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
7,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-512gb-new-100.html,8,512,29090000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
8,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,21790000,2022-12-26 19:53:56.423963,YELLOW,0,unknown,onewaymobile
9,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,21790000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
10,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,21690000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
11,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-16gb-512gb-new-100.html,16,16,34590000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
12,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-16gb-512gb-new-100.html,16,16,34190000,2022-12-26 19:53:56.423963,YELLOW,0,unknown,onewaymobile
13,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-16gb-512gb-new-100.html,16,16,34590000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
14,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-8gb512gb-new-100.html,8,512,27290000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
15,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-8gb512gb-new-100.html,8,512,27290000,2022-12-26 19:53:56.423963,YELLOW,0,unknown,onewaymobile
16,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-8gb512gb-new-100.html,8,512,27290000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
17,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-16gb-256gb-new-100.html,16,16,28990000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
18,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-16gb-256gb-new-100.html,16,16,28990000,2022-12-26 19:53:56.423963,YELLOW,0,unknown,onewaymobile
19,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-16gb-256gb-new-100.html,16,16,29390000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
68,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-8core-cpu-512gb-new.html,16,16,43890000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
69,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-8core-cpu-512gb-new.html,16,16,43890000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
70,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new.html,32,32,62790000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
71,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new.html,32,32,62790000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
72,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-16gb-1tb-new.html,16,16,52490000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
73,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-16gb-1tb-new.html,16,16,52490000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
74,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new-1.html,32,32,57190000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
75,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new-1.html,32,32,57190000,2022-12-26 19:53:56.423963,GRAY,0,unknown,onewaymobile
76,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-16inch-apple-m1-pro-10corecpu-512gb-new.html,16,16,52590000,2022-12-26 19:53:56.423963,SILVER,0,unknown,onewaymobile
