,name,url,ram,rom,price,createdDate,color,status,url_img,store
0,IPHONE SE 2022,https://onewaymobile.vn/iphone-se/dien-thoai-apple-iphone-se-2022-64gb-dp647.html,4,64,9990000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
1,IPHONE SE 2022,https://onewaymobile.vn/iphone-se/dien-thoai-apple-iphone-se-2022-64gb-dp647.html,4,64,9990000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
2,IPHONE SE 2022,https://onewaymobile.vn/iphone-se/dien-thoai-apple-iphone-se-2022-64gb-dp647.html,4,64,9990000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
3,IPHONE SE 2022,https://onewaymobile.vn/iphone-se/dien-thoai-apple-iphone-se-2022-128gb-dp648.html,4,128,10990000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
4,IPHONE SE 2022,https://onewaymobile.vn/iphone-se/dien-thoai-apple-iphone-se-2022-128gb-dp648.html,4,128,10990000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
5,IPHONE SE 2022,https://onewaymobile.vn/iphone-se/dien-thoai-apple-iphone-se-2022-128gb-dp648.html,4,128,10990000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
6,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-64gb-vna-dp264.html,4,64,10450000,2022-12-26 19:48:41.443815,YELLOW,0,unknown,onewaymobile
7,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-64gb-vna-dp264.html,4,64,10890000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
8,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-64gb-vna-dp264.html,4,64,10890000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
9,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-64gb-vna-dp264.html,4,64,10890000,2022-12-26 19:48:41.443815,GREEN,0,unknown,onewaymobile
10,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-64gb-vna-dp264.html,4,64,10890000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
11,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-64gb-vna-dp264.html,4,64,10890000,2022-12-26 19:48:41.443815,PURPLE,0,unknown,onewaymobile
12,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-128gb-vna-dp265.html,4,128,12490000,2022-12-26 19:48:41.443815,YELLOW,0,unknown,onewaymobile
13,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-128gb-vna-dp265.html,4,128,12890000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
14,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-128gb-vna-dp265.html,4,128,12890000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
15,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-128gb-vna-dp265.html,4,128,12890000,2022-12-26 19:48:41.443815,GREEN,0,unknown,onewaymobile
16,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-128gb-vna-dp265.html,4,128,12890000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
17,IPHONE 11,https://onewaymobile.vn/iphone-11-series/dien-thoai-apple-iphone-11-128gb-vna-dp265.html,4,128,12890000,2022-12-26 19:48:41.443815,PURPLE,0,unknown,onewaymobile
36,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-64gb-vna-dp402.html,4,64,14690000,2022-12-26 19:48:41.443815,RED,0,unknown,onewaymobile
37,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-64gb-vna-dp402.html,4,64,15290000,2022-12-26 19:48:41.443815,BLACK,0,unknown,onewaymobile
38,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-64gb-vna-dp402.html,4,64,15290000,2022-12-26 19:48:41.443815,WHITE,0,unknown,onewaymobile
39,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-64gb-vna-dp402.html,4,64,15290000,2022-12-26 19:48:41.443815,BLUE,0,unknown,onewaymobile
40,IPHONE 12,https://onewaymobile.vn/iphone-12-series/dien-thoai-apple-iphone-12-64gb-vna-dp402.html,4,64,15290000,2022-12-26 19:48:41.443815,GREEN,0,unknown,onewaymobile
