,name,url,ram,rom,price,createdDate,color,status,url_img,store
0,IPAD 4,http://tragopdidong.vn/ipad-4-wifi-4g-64gb-moi-95-99.html,unknown,64,5298000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-4-wifi-4g-64gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-4-wifi-4g-64gb-like-new.jpg']",tragopdidong
1,IPAD 2,http://tragopdidong.vn/ipad-2-wifi-3g-16gb-moi-95-99.html,unknown,16,2368000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-2-wifi-3g-16gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-2-wifi-3g-16gb-like-new.jpg']",tragopdidong
2,IPAD 4,http://tragopdidong.vn/ipad-4-wifi-4g-16gb-moi-95-99.html,unknown,16,3468000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-4-wifi-4g-16gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-4-wifi-4g-16gb-like-new.jpg']",tragopdidong
3,IPAD 3,http://tragopdidong.vn/ipad-3-wifi-4g-16gb-moi-95-99.html,unknown,16,2868000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-3-wifi-4g-16gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-3-wifi-4g-16gb-like-new.jpg']",tragopdidong
4,IPAD 3,http://tragopdidong.vn/ipad-3-wifi-16gb-moi-95-99.html,unknown,16,3050000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-3-wifi-16gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-3-wifi-16gb-like-new.jpg']",tragopdidong
5,IPAD 3,http://tragopdidong.vn/ipad-3-wifi-4g-32gb-moi-95-99.html,unknown,32,3998000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-3-wifi-4g-32gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-3-wifi-4g-32gb-like-new.jpg']",tragopdidong
6,IPAD MINI,http://tragopdidong.vn/ipad-mini-wifi-4g-64gb-moi-95-99-fullbox.html,unknown,64,4050000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-mini-wifi-4g-64gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-mini-wifi-4g-64gb-like-new.jpg']",tragopdidong
7,IPAD 2,http://tragopdidong.vn/ipad-2-wifi-3g-32gb-moi-95-99.html,unknown,32,3298000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-2-wifi-3g-32gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-2-wifi-3g-32gb-like-new.jpg']",tragopdidong
8,IPAD MINI,http://tragopdidong.vn/ipad-mini-wifi-4g-32gb-moi-95-99-fullbox.html,unknown,32,3598000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-mini-wifi-4g-32gb-like-new.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-mini-wifi-4g-32gb-like-new.jpg']",tragopdidong
9,IPAD MINI 4,http://tragopdidong.vn/ipad-mini-4-wifi-4g-64gb-moi-95-99.html,unknown,64,3750000,2022-12-26 19:57:29.204453,unknown,1,"['http://tragopdidong.vn/img/h360/ipad-mini-4-wifi-4g-64gb-moi-95-99.jpg', 'http://tragopdidong.vn/img/w60/h95/ipad-mini-4-wifi-4g-64gb-moi-95-99.jpg']",tragopdidong
