,name,url,ram,rom,price,createdDate,color,status,url_img,store
0,IPHONE 11,http://tragopdidong.vn/iphone-11-128g-quoc-te-moi-100.html,4,128,13468000,2022-12-26 20:01:34.640179,unknown,1,"['http://tragopdidong.vn/img/h360/moi-99-22.jpg', 'http://tragopdidong.vn/img/w60/h95/moi-99-22.jpg']",tragopdidong
1,IPHONE 8 PLUS,http://tragopdidong.vn/iphone-8-plus-64g-quoc-te-moi-95-99.html,2,64,3768000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
2,IPHONE 8 PLUS,http://tragopdidong.vn/iphone-8-plus-64g-quoc-te-moi-100.html,2,64,9950000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
3,IPHONE X,http://tragopdidong.vn/iphone-x-256g-quoc-te-moi-100.html,3,256,11650000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
4,IPHONE 8,http://tragopdidong.vn/iphone-8-64g-quoc-te-moi-100.html,2,64,7350000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
5,IPHONE 8,http://tragopdidong.vn/iphone-8-256g-quoc-te-moi-100.html,2,256,8050000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
6,IPHONE 8 PLUS,http://tragopdidong.vn/iphone-8-plus-256g-quoc-te-moi-100.html,2,256,11750000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
7,IPHONE 8,http://tragopdidong.vn/iphone-8-64g-quoc-te-moi-95-99.html,2,64,2268000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
8,IPHONE 8 PLUS,http://tragopdidong.vn/iphone-8-plus-256g-quoc-te-moi-95-99.html,2,256,4268000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
9,IPHONE 8,http://tragopdidong.vn/iphone-8-256g-quoc-te-moi-95-99.html,2,256,2868000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
10,IPHONE 7 PLUS,http://tragopdidong.vn/iphone-7-plus-32g-quoc-te-moi-95-99.html,3,32,2468000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
11,IPHONE 7 PLUS,http://tragopdidong.vn/iphone-7-plus-128g-quoc-te-moi-95-99.html,3,128,3168000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
12,IPHONE 7 PLUS,http://tragopdidong.vn/iphone-7-plus-128g-quoc-te-moi-100.html,3,128,8050000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
13,IPHONE 7,http://tragopdidong.vn/iphone-7-32g-quoc-te-moi-100.html,2,32,4968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
14,IPHONE 7,http://tragopdidong.vn/iphone-7-32g-quoc-te-moi-95-99.html,2,32,1368000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
15,IPHONE 7 PLUS,http://tragopdidong.vn/iphone-7-plus-32g-quoc-te-moi-100.html,3,32,7050000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
16,IPHONE XS MAX,http://tragopdidong.vn/iphone-xs-max-64g-quoc-te-moi-100.html,4,64,15350000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
17,IPHONE XS,http://tragopdidong.vn/iphone-xs-512g-quoc-te-moi-100.html,4,512,,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
18,IPHONE XS MAX,http://tragopdidong.vn/iphone-xs-max-256g-quoc-te-moi-100.html,4,256,17768000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
19,IPHONE XS MAX,http://tragopdidong.vn/iphone-xs-max-64g-quoc-te-moi-95-99.html,4,64,5968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
20,IPHONE XS MAX,http://tragopdidong.vn/iphone-xs-max-256g-quoc-te-moi-95-99.html,4,256,7068000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
21,IPHONE XS MAX,http://tragopdidong.vn/iphone-xs-max-512g-quoc-te-moi-100.html,4,512,,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
22,IPHONE XS,http://tragopdidong.vn/iphone-xs-64g-quoc-te-moi-95-99.html,4,64,4268000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
23,IPHONE XS,http://tragopdidong.vn/iphone-xs-256g-quoc-te-moi-95-99.html,4,256,5268000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
24,IPHONE XS,http://tragopdidong.vn/iphone-xs-64g-quoc-te-moi-100.html,4,64,12750000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
25,IPHONE XR,http://tragopdidong.vn/iphone-xr-64g-quoc-te-moi-100.html,3,64,10050000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
26,IPHONE XR,http://tragopdidong.vn/iphone-xr-256g-quoc-te-moi-100.html,3,256,13150000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
27,IPHONE XR,http://tragopdidong.vn/iphone-xr-128g-quoc-te-moi-95-99.html,3,128,5668000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
28,IPHONE X,http://tragopdidong.vn/iphone-x-64g-quoc-te-moi-95-99.html,3,64,3968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
29,IPHONE XR,http://tragopdidong.vn/iphone-xr-128g-quoc-te-moi-100.html,3,128,10950000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
30,IPHONE 6S PLUS,http://tragopdidong.vn/iphone-6s-plus-64g-quoc-te-moi-95-99.html,2,64,2568000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
31,IPHONE XR,http://tragopdidong.vn/iphone-xr-64g-quoc-te-moi-95-99.html,3,64,4568000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
32,IPHONE 6S PLUS,http://tragopdidong.vn/iphone-6s-plus-16g-quoc-te-moi-95-99.html,2,16,1750000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
33,IPHONE X,http://tragopdidong.vn/iphone-x-256g-quoc-te-moi-95-99.html,3,256,4568000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
34,IPHONE 6S PLUS,http://tragopdidong.vn/iphone-6s-plus-64g-quoc-te-moi-100.html,2,64,7668000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
35,IPHONE 7,http://tragopdidong.vn/iphone-7-128g-quoc-te-moi-100.html,2,128,5968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
36,IPHONE XS,http://tragopdidong.vn/iphone-xs-256g-quoc-te-moi-100.html,4,256,13850000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
37,IPHONE 6S,http://tragopdidong.vn/iphone-6s-16g-quoc-te-moi-100.html,2,16,4168000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
38,IPHONE 7,http://tragopdidong.vn/iphone-7-128g-quoc-te-moi-95-99.html,2,128,1968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
39,IPHONE X,http://tragopdidong.vn/iphone-x-64g-quoc-te-moi-100.html,3,64,10250000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
40,IPHONE 6S PLUS,http://tragopdidong.vn/iphone-6s-plus-16g-quoc-te-moi-100.html,2,16,5368000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
41,IPHONE 6S,http://tragopdidong.vn/iphone-6s-64g-quoc-te-moi-100.html,2,64,5168000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
42,IPHONE 6S,http://tragopdidong.vn/iphone-6s-16g-quoc-te-moi-95-99.html,2,16,896800,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
43,IPHONE 6S,http://tragopdidong.vn/iphone-6s-64g-quoc-te-moi-95-99.html,2,64,1368000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
44,IPHONE 13 PRO MAX,http://tragopdidong.vn/iphone-13-pro-max-128g-quoc-te-moi-95-99.html,6,128,19768000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
45,IPHONE 13 PRO MAX,http://tragopdidong.vn/iphone-13-pro-max-256g-quoc-te-moi-100.html,6,256,26568000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
46,IPHONE 13 PRO MAX,http://tragopdidong.vn/iphone-13-pro-max-128g-quoc-te-moi-100.html,6,128,24168000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
47,IPHONE 13 PRO,http://tragopdidong.vn/iphone-13-pro-256g-quoc-te-moi-95-99.html,6,256,19868000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
48,IPHONE 13 PRO,http://tragopdidong.vn/iphone-13-pro-256g-quoc-te-moi-100.html,6,256,22968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
49,IPHONE 13 PRO,http://tragopdidong.vn/iphone-13-pro-128g-quoc-te-moi-95-99.html,6,128,17968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
50,IPHONE 13,http://tragopdidong.vn/iphone-13-256g-quoc-te-moi-95-99.html,4,256,14768000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
51,IPHONE 13 PRO,http://tragopdidong.vn/iphone-13-pro-128g-quoc-te-moi-100.html,6,128,21768000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
52,IPHONE 13 PRO MAX,http://tragopdidong.vn/iphone-13-pro-max-256g-quoc-te-moi-95-99.html,6,256,21868000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
53,IPHONE 13,http://tragopdidong.vn/iphone-13-256g-quoc-te-moi-100.html,4,256,18968000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
54,IPHONE 12 PRO MAX,http://tragopdidong.vn/iphone-12-pro-max-128g-quoc-te-moi-100.html,6,128,17368000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
55,IPHONE 13,http://tragopdidong.vn/iphone-13-128g-quoc-te-moi-95-99.html,4,128,13468000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
56,IPHONE 13,http://tragopdidong.vn/iphone-13-128g-quoc-te-moi-100.html,4,128,17268000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
57,IPHONE 12 PRO MAX,http://tragopdidong.vn/iphone-12-pro-max-256g-quoc-te-moi-95-99.html,6,256,16868000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
58,IPHONE 12 PRO MAX,http://tragopdidong.vn/iphone-12-pro-max-256g-quoc-te-moi-100.html,6,256,19468000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
59,IPHONE 12 PRO,http://tragopdidong.vn/iphone-12-pro-256g-quoc-te-moi-95-99.html,6,256,14268000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
60,IPHONE 12 PRO MAX,http://tragopdidong.vn/iphone-12-pro-max-128g-quoc-te-moi-95-99.html,6,128,14668000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
61,IPHONE 12,http://tragopdidong.vn/iphone-12-64g-quoc-te-moi-95-99.html,4,64,8868000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
62,IPHONE 12,http://tragopdidong.vn/iphone-12-256g-quoc-te-moi-95-99.html,4,256,16768000,2022-12-26 20:01:34.640179,unknown,1,[],tragopdidong
