,name,url,ram,rom,price,createdDate,color,status,url_img,store
0,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-mvh22-cu.html,8,512,,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
1,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-mvh22-cu.html,8,512,,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
2,MACBOOK AIR,https://onewaymacbook.vn/macbook-air-mvh22-cu.html,8,512,,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
6,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,26790000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
7,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,26790000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
8,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-ram-16gb-256gb-new-100.html,16,16,34990000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
9,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-ram-16gb-256gb-new-100.html,16,16,34990000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
10,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-16-gb-512gb-new-100.html,16,16,39290000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
11,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-16-gb-512gb-new-100.html,16,16,39290000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
12,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-512gb-new-100.html,8,512,29590000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
13,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2020-13inch-ram-8gb-512gb-new-100.html,8,512,29590000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
14,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,20890000,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
15,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,20990000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
16,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-8gb-256gb-new-100.html,8,256,20990000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
17,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-16gb-512gb-new-100.html,16,16,34290000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
18,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-16gb-512gb-new-100.html,16,16,33790000,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
19,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13inch-ram-16gb-512gb-new-100.html,16,16,34290000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
20,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-8gb512gb-new-100.html,8,512,26590000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
21,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-8gb512gb-new-100.html,8,512,26590000,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
22,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-8gb512gb-new-100.html,8,512,26590000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
23,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-16gb-256gb-new-100.html,16,16,28890000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
24,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-16gb-256gb-new-100.html,16,16,28890000,2023-01-10 21:42:31.526365,YELLOW,0,unknown,onewaymobie
25,MACBOOK AIR M1,https://onewaymacbook.vn/macbook-air-m1-2020-13icnh-ram-16gb-256gb-new-100.html,16,16,29290000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
74,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-8core-cpu-512gb-new.html,16,16,40890000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
75,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-8core-cpu-512gb-new.html,16,16,40890000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
76,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new.html,32,32,62790000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
77,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new.html,32,32,62790000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
78,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-16gb-1tb-new.html,16,16,50590000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
79,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-16gb-1tb-new.html,16,16,50590000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
80,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new-1.html,32,32,57190000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
81,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-14inch-apple-m1-pro-ram-32gb-512gb-new-1.html,32,32,57190000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
82,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-16inch-apple-m1-pro-10corecpu-512gb-new.html,16,16,49690000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
83,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-16inch-apple-m1-pro-10corecpu-512gb-new.html,16,16,49690000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
84,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-16inch-apple-m1-pro-ram-32gb-512gb-new.html,32,32,69590000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
85,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-16inch-apple-m1-pro-ram-32gb-512gb-new.html,32,32,69590000,2023-01-10 21:42:31.526365,GRAY,0,unknown,onewaymobie
86,MACBOOK PRO,https://onewaymacbook.vn/macbook-pro-m1-2021-16inch-apple-m1-max-ram-32gb-1tb-new.html,32,32,77690000,2023-01-10 21:42:31.526365,SILVER,0,unknown,onewaymobie
